"entidad";"nombre";"con";"med";"mad";"pro";"tec";"otr";"bnk"
"AGUASCALIENTES";"CENTRO ESTATAL DE SALUD MENTAL FAMILIAR AGUA CLARA";14;0;0;116;2;42;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO NORIAS DE OJOCALIENTE";3;3;1;1;1;4;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO GREMIAL";7;7;0;2;3;5;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO PROGRESO";4;6;1;0;4;7;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO CONSTITUCION";7;11;2;2;3;7;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO GOMEZ PORTUGAL";6;4;3;1;5;6;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO INSURGENTES";8;6;2;3;3;6;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO LICENCIADO JOSE LOPEZ PORTILLO";6;5;1;1;3;4;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO LA SALUD";5;5;0;2;3;4;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO SAN MARCOS";7;5;0;1;4;6;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO OJOCALIENTE";6;6;2;4;5;10;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO MORELOS";5;14;3;1;4;11;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO LAS CUMBRES";5;6;2;1;3;9;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LOS ARELLANO";4;2;2;0;1;2;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL EL COLORADO";1;1;0;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LOS CUERVOS";1;1;0;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO JOSE MARIA MORELOS";4;2;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SALTO DE LOS SALADO";4;1;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SAN IGNACIO";4;5;0;0;1;5;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SANTA MARIA DE GALLARDO";1;1;0;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LA CANTERA";3;0;2;0;0;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO ASIENTOS";3;3;2;0;0;4;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL ADOLFO LOPEZ MATEOS";2;0;2;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL COLONIA EMANCIPACION";1;0;1;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO CIENEGA GRANDE";3;3;2;0;1;4;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LAS FRAGUAS";1;0;0;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL FRANCISCO VILLA";2;0;2;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL PILOTOS";2;2;1;0;0;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL EL POLVO";2;0;1;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO VILLA JUAREZ";6;12;2;1;3;8;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO CALVILLO PONIENTE";3;4;1;2;10;6;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO CALVILLO";8;10;3;1;2;12;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL COLOMOS";1;0;1;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL EL CUERVERO";4;0;2;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL JALTICHE DE ARRIBA";2;1;1;0;1;0;0
