"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";14;0;0;0;0;1;0;0;116;2;42
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";3;0;0;3;1;1;11;0;1;1;4
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";7;0;0;7;0;1;11;0;2;3;5
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";4;0;0;6;1;1;15;0;0;4;7
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";7;0;0;11;2;1;12;0;2;3;7
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";6;0;0;4;3;1;13;0;1;5;6
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";8;0;0;6;2;1;12;0;3;3;6
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";6;0;0;5;1;1;12;0;1;3;4
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";5;0;0;5;0;1;9;0;2;3;4
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";7;0;0;5;0;1;9;0;1;4;6
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";6;0;0;6;2;1;12;0;4;5;10
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";5;0;0;14;3;1;23;0;1;4;11
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";5;0;0;6;2;1;21;0;1;3;9
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"ARELLANO";4;0;0;2;2;1;9;0;0;1;2
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"EL COLORADO (EL SOYATAL)";1;0;0;1;0;0;2;0;0;1;1
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"LOS CUERVOS (LOS OJOS DE AGUA)";1;0;0;1;0;0;2;0;0;0;0
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"GENERAL JOSE MARIA MORELOS Y PAVON (CAÑADA HONDA)";4;0;0;2;1;0;2;0;0;1;1
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"EL SALTO DE LOS SALADO";4;0;0;1;1;1;4;0;0;1;1
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"SAN IGNACIO";4;0;0;5;0;1;5;0;0;1;5
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"SANTA MARIA DE GALLARDO";1;0;0;1;0;0;1;0;0;1;1
"AGUASCALIENTES";"AGUASCALIENTES";"AGUASCALIENTES";"CIUDAD DE LOS NIÑOS";3;0;0;0;2;0;2;0;0;0;1
"AGUASCALIENTES";"RINCON DE ROMOS";"ASIENTOS";"ASIENTOS";3;0;0;3;2;0;6;0;0;0;4
"AGUASCALIENTES";"RINCON DE ROMOS";"ASIENTOS";"LICENCIADO ADOLFO LOPEZ MATEOS";2;0;0;0;2;0;3;0;0;1;0
"AGUASCALIENTES";"RINCON DE ROMOS";"ASIENTOS";"EMANCIPACION (BORUNDA) [COLONIA]";1;0;0;0;1;0;2;0;0;0;0
"AGUASCALIENTES";"RINCON DE ROMOS";"ASIENTOS";"CIENEGA GRANDE";3;0;1;3;2;0;3;0;0;1;4
"AGUASCALIENTES";"RINCON DE ROMOS";"ASIENTOS";"LAS FRAGUAS";1;0;0;0;0;0;2;0;0;0;0
